nohup: ignoring input
Using device: cuda:1
Run checkpoints will be saved to: training_outputs/ckpts/20260713_012129
Concept branches | visual_concept_on=True | temporal_concepts_on=False | visual_concept_logit_scale=1.0
Train: 21351 windows (/data/quantization/zaima/dh1k/training) | Val: 3722 windows (/data/quantization/zaima/dh1k/testing) | window_len=16
Initialized saliency bias to logit(0.0177) = -4.0163 for: final_upsample_head.head, patch_logit_head
Backbone fine-tuning enabled | effective_batch_size=4 | micro_batch_size=4 | grad_accum_steps=1 | gradient_checkpointing=False | visual_equiv=off

Epoch 1/100

Val epoch 1:  66%|██████▌   | 613/931 [07:42<03:55,  1.35it/s, NSS=3.0927, loss=-0.3302]
Val epoch 1:  66%|██████▌   | 614/931 [07:42<03:53,  1.36it/s, NSS=3.0927, loss=-0.3302]
Val epoch 1:  66%|██████▌   | 614/931 [07:43<03:53,  1.36it/s, NSS=3.0889, loss=0.2122] 
Val epoch 1:  66%|██████▌   | 615/931 [07:43<03:53,  1.35it/s, NSS=3.0889, loss=0.2122]
Val epoch 1:  66%|██████▌   | 615/931 [07:43<03:53,  1.35it/s, NSS=3.0862, loss=-0.2399]
Val epoch 1:  66%|██████▌   | 616/931 [07:43<03:53,  1.35it/s, NSS=3.0862, loss=-0.2399]
Val epoch 1:  66%|██████▌   | 616/931 [07:44<03:53,  1.35it/s, NSS=3.0835, loss=-0.1933]
Val epoch 1:  66%|██████▋   | 617/931 [07:44<03:52,  1.35it/s, NSS=3.0835, loss=-0.1933]
Val epoch 1:  66%|██████▋   | 617/931 [07:45<03:52,  1.35it/s, NSS=3.0838, loss=-1.2987]
Val epoch 1:  66%|██████▋   | 618/931 [07:45<03:51,  1.35it/s, NSS=3.0838, loss=-1.2987]
Val epoch 1:  66%|██████▋   | 618/931 [07:46<03:51,  1.35it/s, NSS=3.0829, loss=-0.9265]
Val epoch 1:  66%|██████▋   | 619/931 [07:46<03:50,  1.36it/s, NSS=3.0829, loss=-0.9265]
Val epoch 1:  66%|██████▋   | 619/931 [07:46<03:50,  1.36it/s, NSS=3.0831, loss=-1.2740]
Val epoch 1:  67%|██████▋   | 620/931 [07:46<03:49,  1.36it/s, NSS=3.0831, loss=-1.2740]
Val epoch 1:  67%|██████▋   | 620/931 [07:47<03:49,  1.36it/s, NSS=3.0828, loss=-1.1048]
Val epoch 1:  67%|██████▋   | 621/931 [07:47<03:49,  1.35it/s, NSS=3.0828, loss=-1.1048]
Val epoch 1:  67%|██████▋   | 621/931 [07:48<03:49,  1.35it/s, NSS=3.0829, loss=-1.3395]
Val epoch 1:  67%|██████▋   | 622/931 [07:48<03:48,  1.35it/s, NSS=3.0829, loss=-1.3395]
Val epoch 1:  67%|██████▋   | 622/931 [07:49<03:48,  1.35it/s, NSS=3.0827, loss=-1.1817]
Val epoch 1:  67%|██████▋   | 623/931 [07:49<03:47,  1.35it/s, NSS=3.0827, loss=-1.1817]
Val epoch 1:  67%|██████▋   | 623/931 [07:49<03:47,  1.35it/s, NSS=3.0823, loss=-1.0915]
Val epoch 1:  67%|██████▋   | 624/931 [07:49<03:46,  1.35it/s, NSS=3.0823, loss=-1.0915]
Val epoch 1:  67%|██████▋   | 624/931 [07:50<03:46,  1.35it/s, NSS=3.0831, loss=-1.4839]
Val epoch 1:  67%|██████▋   | 625/931 [07:50<03:45,  1.35it/s, NSS=3.0831, loss=-1.4839]
Val epoch 1:  67%|██████▋   | 625/931 [07:51<03:45,  1.35it/s, NSS=3.0834, loss=-1.4209]
Val epoch 1:  67%|██████▋   | 626/931 [07:51<03:45,  1.35it/s, NSS=3.0834, loss=-1.4209]
Val epoch 1:  67%|██████▋   | 626/931 [07:51<03:45,  1.35it/s, NSS=3.0851, loss=-1.8190]
Val epoch 1:  67%|██████▋   | 627/931 [07:51<03:43,  1.36it/s, NSS=3.0851, loss=-1.8190]
Val epoch 1:  67%|██████▋   | 627/931 [07:52<03:43,  1.36it/s, NSS=3.0883, loss=-2.3293]
Val epoch 1:  67%|██████▋   | 628/931 [07:52<03:43,  1.36it/s, NSS=3.0883, loss=-2.3293]
Val epoch 1:  67%|██████▋   | 628/931 [07:53<03:43,  1.36it/s, NSS=3.0909, loss=-2.0385]
Val epoch 1:  68%|██████▊   | 629/931 [07:53<03:42,  1.36it/s, NSS=3.0909, loss=-2.0385]
Val epoch 1:  68%|██████▊   | 629/931 [07:54<03:42,  1.36it/s, NSS=3.0942, loss=-2.3205]
Val epoch 1:  68%|██████▊   | 630/931 [07:54<03:41,  1.36it/s, NSS=3.0942, loss=-2.3205]
Val epoch 1:  68%|██████▊   | 630/931 [07:54<03:41,  1.36it/s, NSS=3.0976, loss=-2.3475]
Val epoch 1:  68%|██████▊   | 631/931 [07:54<03:49,  1.31it/s, NSS=3.0976, loss=-2.3475]
Val epoch 1:  68%|██████▊   | 631/931 [07:55<03:49,  1.31it/s, NSS=3.1010, loss=-2.4701]
Val epoch 1:  68%|██████▊   | 632/931 [07:55<03:45,  1.33it/s, NSS=3.1010, loss=-2.4701]
Val epoch 1:  68%|██████▊   | 632/931 [07:56<03:45,  1.33it/s, NSS=3.1015, loss=-1.4005]
Val epoch 1:  68%|██████▊   | 633/931 [07:56<03:54,  1.27it/s, NSS=3.1015, loss=-1.4005]
Val epoch 1:  68%|██████▊   | 633/931 [07:57<03:54,  1.27it/s, NSS=3.1022, loss=-1.4632]
Val epoch 1:  68%|██████▊   | 634/931 [07:57<03:49,  1.29it/s, NSS=3.1022, loss=-1.4632]
Val epoch 1:  68%|██████▊   | 634/931 [07:58<03:49,  1.29it/s, NSS=3.0997, loss=-0.3292]
Val epoch 1:  68%|██████▊   | 635/931 [07:58<03:47,  1.30it/s, NSS=3.0997, loss=-0.3292]
Val epoch 1:  68%|██████▊   | 635/931 [07:58<03:47,  1.30it/s, NSS=3.0972, loss=-0.3378]
Val epoch 1:  68%|██████▊   | 636/931 [07:58<03:52,  1.27it/s, NSS=3.0972, loss=-0.3378]
Val epoch 1:  68%|██████▊   | 636/931 [07:59<03:52,  1.27it/s, NSS=3.0958, loss=-0.7448]
Val epoch 1:  68%|██████▊   | 637/931 [07:59<03:47,  1.29it/s, NSS=3.0958, loss=-0.7448]
Val epoch 1:  68%|██████▊   | 637/931 [08:00<03:47,  1.29it/s, NSS=3.0935, loss=-0.4962]
Val epoch 1:  69%|██████▊   | 638/931 [08:00<03:43,  1.31it/s, NSS=3.0935, loss=-0.4962]
Val epoch 1:  69%|██████▊   | 638/931 [08:01<03:43,  1.31it/s, NSS=3.0918, loss=-0.6253]
Val epoch 1:  69%|██████▊   | 639/931 [08:01<03:41,  1.32it/s, NSS=3.0918, loss=-0.6253]
Val epoch 1:  69%|██████▊   | 639/931 [08:01<03:41,  1.32it/s, NSS=3.0892, loss=-0.2415]
Val epoch 1:  69%|██████▊   | 640/931 [08:01<03:38,  1.33it/s, NSS=3.0892, loss=-0.2415]
Val epoch 1:  69%|██████▊   | 640/931 [08:02<03:38,  1.33it/s, NSS=3.0860, loss=-0.1111]
Val epoch 1:  69%|██████▉   | 641/931 [08:02<03:36,  1.34it/s, NSS=3.0860, loss=-0.1111]
Val epoch 1:  69%|██████▉   | 641/931 [08:03<03:36,  1.34it/s, NSS=3.0848, loss=-0.7984]
Val epoch 1:  69%|██████▉   | 642/931 [08:03<03:35,  1.34it/s, NSS=3.0848, loss=-0.7984]
Val epoch 1:  69%|██████▉   | 642/931 [08:04<03:35,  1.34it/s, NSS=3.0820, loss=-0.1956]
Val epoch 1:  69%|██████▉   | 643/931 [08:04<03:33,  1.35it/s, NSS=3.0820, loss=-0.1956]
Val epoch 1:  69%|██████▉   | 643/931 [08:04<03:33,  1.35it/s, NSS=3.0798, loss=-0.4529]
Val epoch 1:  69%|██████▉   | 644/931 [08:04<03:32,  1.35it/s, NSS=3.0798, loss=-0.4529]
Val epoch 1:  69%|██████▉   | 644/931 [08:05<03:32,  1.35it/s, NSS=3.0785, loss=-0.7299]
Val epoch 1:  69%|██████▉   | 645/931 [08:05<03:31,  1.35it/s, NSS=3.0785, loss=-0.7299]
Val epoch 1:  69%|██████▉   | 645/931 [08:06<03:31,  1.35it/s, NSS=3.0775, loss=-0.7105]
Val epoch 1:  69%|██████▉   | 646/931 [08:06<03:30,  1.35it/s, NSS=3.0775, loss=-0.7105]
Val epoch 1:  69%|██████▉   | 646/931 [08:07<03:30,  1.35it/s, NSS=3.0778, loss=-1.2377]
Val epoch 1:  69%|██████▉   | 647/931 [08:07<03:29,  1.36it/s, NSS=3.0778, loss=-1.2377]
Val epoch 1:  69%|██████▉   | 647/931 [08:07<03:29,  1.36it/s, NSS=3.0786, loss=-1.6038]
Val epoch 1:  70%|██████▉   | 648/931 [08:07<03:28,  1.36it/s, NSS=3.0786, loss=-1.6038]
Val epoch 1:  70%|██████▉   | 648/931 [08:08<03:28,  1.36it/s, NSS=3.0798, loss=-1.5912]
Val epoch 1:  70%|██████▉   | 649/931 [08:08<03:28,  1.36it/s, NSS=3.0798, loss=-1.5912]
Val epoch 1:  70%|██████▉   | 649/931 [08:09<03:28,  1.36it/s, NSS=3.0798, loss=-1.1691]
Val epoch 1:  70%|██████▉   | 650/931 [08:09<03:26,  1.36it/s, NSS=3.0798, loss=-1.1691]
Val epoch 1:  70%|██████▉   | 650/931 [08:09<03:26,  1.36it/s, NSS=3.0805, loss=-1.4246]
Val epoch 1:  70%|██████▉   | 651/931 [08:09<03:26,  1.35it/s, NSS=3.0805, loss=-1.4246]
Val epoch 1:  70%|██████▉   | 651/931 [08:10<03:26,  1.35it/s, NSS=3.0790, loss=-0.6308]
Val epoch 1:  70%|███████   | 652/931 [08:10<03:25,  1.36it/s, NSS=3.0790, loss=-0.6308]
Val epoch 1:  70%|███████   | 652/931 [08:11<03:25,  1.36it/s, NSS=3.0794, loss=-1.3821]
Val epoch 1:  70%|███████   | 653/931 [08:11<03:24,  1.36it/s, NSS=3.0794, loss=-1.3821]
Val epoch 1:  70%|███████   | 653/931 [08:12<03:24,  1.36it/s, NSS=3.0789, loss=-0.9964]
Val epoch 1:  70%|███████   | 654/931 [08:12<03:24,  1.35it/s, NSS=3.0789, loss=-0.9964]
Val epoch 1:  70%|███████   | 654/931 [08:12<03:24,  1.35it/s, NSS=3.0762, loss=-0.2466]
Val epoch 1:  70%|███████   | 655/931 [08:12<03:24,  1.35it/s, NSS=3.0762, loss=-0.2466]
Val epoch 1:  70%|███████   | 655/931 [08:13<03:24,  1.35it/s, NSS=3.0741, loss=-0.4374]
Val epoch 1:  70%|███████   | 656/931 [08:13<03:24,  1.35it/s, NSS=3.0741, loss=-0.4374]
Val epoch 1:  70%|███████   | 656/931 [08:14<03:24,  1.35it/s, NSS=3.0738, loss=-1.2119]
Val epoch 1:  71%|███████   | 657/931 [08:14<03:23,  1.35it/s, NSS=3.0738, loss=-1.2119]
Val epoch 1:  71%|███████   | 657/931 [08:15<03:23,  1.35it/s, NSS=3.0740, loss=-1.2822]
Val epoch 1:  71%|███████   | 658/931 [08:15<03:21,  1.35it/s, NSS=3.0740, loss=-1.2822]
Val epoch 1:  71%|███████   | 658/931 [08:15<03:21,  1.35it/s, NSS=3.0761, loss=-1.9730]
Val epoch 1:  71%|███████   | 659/931 [08:15<03:20,  1.36it/s, NSS=3.0761, loss=-1.9730]
Val epoch 1:  71%|███████   | 659/931 [08:16<03:20,  1.36it/s, NSS=3.0779, loss=-1.8192]
Val epoch 1:  71%|███████   | 660/931 [08:16<03:19,  1.36it/s, NSS=3.0779, loss=-1.8192]
Val epoch 1:  71%|███████   | 660/931 [08:17<03:19,  1.36it/s, NSS=3.0788, loss=-1.5604]
Val epoch 1:  71%|███████   | 661/931 [08:17<03:18,  1.36it/s, NSS=3.0788, loss=-1.5604]
Val epoch 1:  71%|███████   | 661/931 [08:18<03:18,  1.36it/s, NSS=3.0800, loss=-1.7158]
Val epoch 1:  71%|███████   | 662/931 [08:18<03:17,  1.36it/s, NSS=3.0800, loss=-1.7158]
Val epoch 1:  71%|███████   | 662/931 [08:18<03:17,  1.36it/s, NSS=3.0805, loss=-1.1279]
Val epoch 1:  71%|███████   | 663/931 [08:18<03:16,  1.36it/s, NSS=3.0805, loss=-1.1279]
Val epoch 1:  71%|███████   | 663/931 [08:19<03:16,  1.36it/s, NSS=3.0836, loss=-2.4138]
Val epoch 1:  71%|███████▏  | 664/931 [08:19<03:15,  1.37it/s, NSS=3.0836, loss=-2.4138]
Val epoch 1:  71%|███████▏  | 664/931 [08:20<03:15,  1.37it/s, NSS=3.0882, loss=-2.8730]
Val epoch 1:  71%|███████▏  | 665/931 [08:20<03:14,  1.37it/s, NSS=3.0882, loss=-2.8730]
Val epoch 1:  71%|███████▏  | 665/931 [08:21<03:14,  1.37it/s, NSS=3.0927, loss=-2.7356]
Val epoch 1:  72%|███████▏  | 666/931 [08:21<03:13,  1.37it/s, NSS=3.0927, loss=-2.7356]
Val epoch 1:  72%|███████▏  | 666/931 [08:21<03:13,  1.37it/s, NSS=3.0947, loss=-1.8305]
Val epoch 1:  72%|███████▏  | 667/931 [08:21<03:12,  1.37it/s, NSS=3.0947, loss=-1.8305]
Val epoch 1:  72%|███████▏  | 667/931 [08:22<03:12,  1.37it/s, NSS=3.0931, loss=-0.6246]
Val epoch 1:  72%|███████▏  | 668/931 [08:22<03:13,  1.36it/s, NSS=3.0931, loss=-0.6246]
Val epoch 1:  72%|███████▏  | 668/931 [08:23<03:13,  1.36it/s, NSS=3.0907, loss=-0.3070]
Val epoch 1:  72%|███████▏  | 669/931 [08:23<03:13,  1.36it/s, NSS=3.0907, loss=-0.3070]
Val epoch 1:  72%|███████▏  | 669/931 [08:23<03:13,  1.36it/s, NSS=3.0910, loss=-1.3262]
Val epoch 1:  72%|███████▏  | 670/931 [08:23<03:12,  1.35it/s, NSS=3.0910, loss=-1.3262]
Val epoch 1:  72%|███████▏  | 670/931 [08:24<03:12,  1.35it/s, NSS=3.0911, loss=-1.3175]
Val epoch 1:  72%|███████▏  | 671/931 [08:24<03:11,  1.36it/s, NSS=3.0911, loss=-1.3175]
Val epoch 1:  72%|███████▏  | 671/931 [08:25<03:11,  1.36it/s, NSS=3.0890, loss=-0.4936]
Val epoch 1:  72%|███████▏  | 672/931 [08:25<03:10,  1.36it/s, NSS=3.0890, loss=-0.4936]
Val epoch 1:  72%|███████▏  | 672/931 [08:26<03:10,  1.36it/s, NSS=3.0893, loss=-1.3239]
Val epoch 1:  72%|███████▏  | 673/931 [08:26<03:09,  1.36it/s, NSS=3.0893, loss=-1.3239]
Val epoch 1:  72%|███████▏  | 673/931 [08:26<03:09,  1.36it/s, NSS=3.0892, loss=-1.2310]
Val epoch 1:  72%|███████▏  | 674/931 [08:26<03:08,  1.36it/s, NSS=3.0892, loss=-1.2310]
Val epoch 1:  72%|███████▏  | 674/931 [08:27<03:08,  1.36it/s, NSS=3.0897, loss=-1.3805]
Val epoch 1:  73%|███████▎  | 675/931 [08:27<03:08,  1.36it/s, NSS=3.0897, loss=-1.3805]
Val epoch 1:  73%|███████▎  | 675/931 [08:28<03:08,  1.36it/s, NSS=3.0888, loss=-0.8756]
Val epoch 1:  73%|███████▎  | 676/931 [08:28<03:07,  1.36it/s, NSS=3.0888, loss=-0.8756]
Val epoch 1:  73%|███████▎  | 676/931 [08:29<03:07,  1.36it/s, NSS=3.0904, loss=-1.6864]
Val epoch 1:  73%|███████▎  | 677/931 [08:29<03:05,  1.37it/s, NSS=3.0904, loss=-1.6864]
Val epoch 1:  73%|███████▎  | 677/931 [08:29<03:05,  1.37it/s, NSS=3.0940, loss=-2.4996]
Val epoch 1:  73%|███████▎  | 678/931 [08:29<03:05,  1.37it/s, NSS=3.0940, loss=-2.4996]
Val epoch 1:  73%|███████▎  | 678/931 [08:30<03:05,  1.37it/s, NSS=3.0963, loss=-2.0064]
Val epoch 1:  73%|███████▎  | 679/931 [08:30<03:04,  1.37it/s, NSS=3.0963, loss=-2.0064]
Val epoch 1:  73%|███████▎  | 679/931 [08:31<03:04,  1.37it/s, NSS=3.0974, loss=-1.5741]
Val epoch 1:  73%|███████▎  | 680/931 [08:31<03:03,  1.36it/s, NSS=3.0974, loss=-1.5741]
Val epoch 1:  73%|███████▎  | 680/931 [08:32<03:03,  1.36it/s, NSS=3.0951, loss=-0.3152]
Val epoch 1:  73%|███████▎  | 681/931 [08:32<03:03,  1.36it/s, NSS=3.0951, loss=-0.3152]
Val epoch 1:  73%|███████▎  | 681/931 [08:32<03:03,  1.36it/s, NSS=3.0950, loss=-1.0812]
Val epoch 1:  73%|███████▎  | 682/931 [08:32<03:03,  1.36it/s, NSS=3.0950, loss=-1.0812]
Val epoch 1:  73%|███████▎  | 682/931 [08:33<03:03,  1.36it/s, NSS=3.0951, loss=-1.2502]
Val epoch 1:  73%|███████▎  | 683/931 [08:33<03:02,  1.36it/s, NSS=3.0951, loss=-1.2502]
Val epoch 1:  73%|███████▎  | 683/931 [08:34<03:02,  1.36it/s, NSS=3.0943, loss=-0.9444]
Val epoch 1:  73%|███████▎  | 684/931 [08:34<03:01,  1.36it/s, NSS=3.0943, loss=-0.9444]
Val epoch 1:  73%|███████▎  | 684/931 [08:34<03:01,  1.36it/s, NSS=3.0950, loss=-1.3898]
Val epoch 1:  74%|███████▎  | 685/931 [08:34<03:00,  1.36it/s, NSS=3.0950, loss=-1.3898]
Val epoch 1:  74%|███████▎  | 685/931 [08:35<03:00,  1.36it/s, NSS=3.0932, loss=-0.5002]
Val epoch 1:  74%|███████▎  | 686/931 [08:35<03:00,  1.36it/s, NSS=3.0932, loss=-0.5002]
Val epoch 1:  74%|███████▎  | 686/931 [08:36<03:00,  1.36it/s, NSS=3.0964, loss=-2.3929]
Val epoch 1:  74%|███████▍  | 687/931 [08:36<02:59,  1.36it/s, NSS=3.0964, loss=-2.3929]
Val epoch 1:  74%|███████▍  | 687/931 [08:37<02:59,  1.36it/s, NSS=3.0980, loss=-1.6457]
Val epoch 1:  74%|███████▍  | 688/931 [08:37<02:58,  1.36it/s, NSS=3.0980, loss=-1.6457]
Val epoch 1:  74%|███████▍  | 688/931 [08:38<02:58,  1.36it/s, NSS=3.0993, loss=-1.6885]
Val epoch 1:  74%|███████▍  | 689/931 [08:38<03:04,  1.31it/s, NSS=3.0993, loss=-1.6885]
Val epoch 1:  74%|███████▍  | 689/931 [08:38<03:04,  1.31it/s, NSS=3.0996, loss=-1.3895]
Val epoch 1:  74%|███████▍  | 690/931 [08:38<03:02,  1.32it/s, NSS=3.0996, loss=-1.3895]
Val epoch 1:  74%|███████▍  | 690/931 [08:39<03:02,  1.32it/s, NSS=3.1011, loss=-1.8515]
Val epoch 1:  74%|███████▍  | 691/931 [08:39<03:00,  1.33it/s, NSS=3.1011, loss=-1.8515]
Val epoch 1:  74%|███████▍  | 691/931 [08:40<03:00,  1.33it/s, NSS=3.1032, loss=-2.1106]
Val epoch 1:  74%|███████▍  | 692/931 [08:40<02:58,  1.34it/s, NSS=3.1032, loss=-2.1106]
Val epoch 1:  74%|███████▍  | 692/931 [08:40<02:58,  1.34it/s, NSS=3.1059, loss=-2.1947]
Val epoch 1:  74%|███████▍  | 693/931 [08:40<02:56,  1.35it/s, NSS=3.1059, loss=-2.1947]
Val epoch 1:  74%|███████▍  | 693/931 [08:41<02:56,  1.35it/s, NSS=3.1075, loss=-1.9128]
Val epoch 1:  75%|███████▍  | 694/931 [08:41<02:55,  1.35it/s, NSS=3.1075, loss=-1.9128]
Val epoch 1:  75%|███████▍  | 694/931 [08:42<02:55,  1.35it/s, NSS=3.1071, loss=-1.0927]
Val epoch 1:  75%|███████▍  | 695/931 [08:42<03:05,  1.27it/s, NSS=3.1071, loss=-1.0927]
Val epoch 1:  75%|███████▍  | 695/931 [08:43<03:05,  1.27it/s, NSS=3.1071, loss=-1.2042]
Val epoch 1:  75%|███████▍  | 696/931 [08:43<03:01,  1.29it/s, NSS=3.1071, loss=-1.2042]
Val epoch 1:  75%|███████▍  | 696/931 [08:44<03:01,  1.29it/s, NSS=3.1058, loss=-0.7343]
Val epoch 1:  75%|███████▍  | 697/931 [08:44<02:58,  1.31it/s, NSS=3.1058, loss=-0.7343]
Val epoch 1:  75%|███████▍  | 697/931 [08:44<02:58,  1.31it/s, NSS=3.1049, loss=-0.8245]
Val epoch 1:  75%|███████▍  | 698/931 [08:44<03:02,  1.28it/s, NSS=3.1049, loss=-0.8245]
Val epoch 1:  75%|███████▍  | 698/931 [08:45<03:02,  1.28it/s, NSS=3.1072, loss=-2.1326]
Val epoch 1:  75%|███████▌  | 699/931 [08:45<03:01,  1.28it/s, NSS=3.1072, loss=-2.1326]
Val epoch 1:  75%|███████▌  | 699/931 [08:46<03:01,  1.28it/s, NSS=3.1055, loss=-0.5754]
Val epoch 1:  75%|███████▌  | 700/931 [08:46<02:57,  1.30it/s, NSS=3.1055, loss=-0.5754]
Val epoch 1:  75%|███████▌  | 700/931 [08:47<02:57,  1.30it/s, NSS=3.1066, loss=-1.7848]
Val epoch 1:  75%|███████▌  | 701/931 [08:47<02:54,  1.32it/s, NSS=3.1066, loss=-1.7848]
Val epoch 1:  75%|███████▌  | 701/931 [08:47<02:54,  1.32it/s, NSS=3.1095, loss=-2.3049]
Val epoch 1:  75%|███████▌  | 702/931 [08:47<02:52,  1.33it/s, NSS=3.1095, loss=-2.3049]
Val epoch 1:  75%|███████▌  | 702/931 [08:48<02:52,  1.33it/s, NSS=3.1120, loss=-2.2117]
Val epoch 1:  76%|███████▌  | 703/931 [08:48<02:50,  1.34it/s, NSS=3.1120, loss=-2.2117]
Val epoch 1:  76%|███████▌  | 703/931 [08:49<02:50,  1.34it/s, NSS=3.1148, loss=-2.4607]
Val epoch 1:  76%|███████▌  | 704/931 [08:49<02:48,  1.35it/s, NSS=3.1148, loss=-2.4607]
Val epoch 1:  76%|███████▌  | 704/931 [08:50<02:48,  1.35it/s, NSS=3.1144, loss=-1.0042]
Val epoch 1:  76%|███████▌  | 705/931 [08:50<02:46,  1.36it/s, NSS=3.1144, loss=-1.0042]
Val epoch 1:  76%|███████▌  | 705/931 [08:50<02:46,  1.36it/s, NSS=3.1133, loss=-0.9292]
Val epoch 1:  76%|███████▌  | 706/931 [08:50<02:45,  1.36it/s, NSS=3.1133, loss=-0.9292]
Val epoch 1:  76%|███████▌  | 706/931 [08:51<02:45,  1.36it/s, NSS=3.1109, loss=-0.1751]
Val epoch 1:  76%|███████▌  | 707/931 [08:51<02:45,  1.35it/s, NSS=3.1109, loss=-0.1751]
Val epoch 1:  76%|███████▌  | 707/931 [08:52<02:45,  1.35it/s, NSS=3.1109, loss=-1.0305]
Val epoch 1:  76%|███████▌  | 708/931 [08:52<02:43,  1.36it/s, NSS=3.1109, loss=-1.0305]
Val epoch 1:  76%|███████▌  | 708/931 [08:53<02:43,  1.36it/s, NSS=3.1123, loss=-1.8634]
Val epoch 1:  76%|███████▌  | 709/931 [08:53<02:43,  1.36it/s, NSS=3.1123, loss=-1.8634]
Val epoch 1:  76%|███████▌  | 709/931 [08:53<02:43,  1.36it/s, NSS=3.1117, loss=-0.8015]
Val epoch 1:  76%|███████▋  | 710/931 [08:53<02:43,  1.35it/s, NSS=3.1117, loss=-0.8015]
Val epoch 1:  76%|███████▋  | 710/931 [08:54<02:43,  1.35it/s, NSS=3.1099, loss=-0.4497]
Val epoch 1:  76%|███████▋  | 711/931 [08:54<02:42,  1.36it/s, NSS=3.1099, loss=-0.4497]
Val epoch 1:  76%|███████▋  | 711/931 [08:55<02:42,  1.36it/s, NSS=3.1093, loss=-0.9042]
Val epoch 1:  76%|███████▋  | 712/931 [08:55<02:41,  1.35it/s, NSS=3.1093, loss=-0.9042]
Val epoch 1:  76%|███████▋  | 712/931 [08:55<02:41,  1.35it/s, NSS=3.1078, loss=-0.4883]
Val epoch 1:  77%|███████▋  | 713/931 [08:55<02:40,  1.36it/s, NSS=3.1078, loss=-0.4883]
Val epoch 1:  77%|███████▋  | 713/931 [08:56<02:40,  1.36it/s, NSS=3.1067, loss=-0.7197]
Val epoch 1:  77%|███████▋  | 714/931 [08:56<02:40,  1.35it/s, NSS=3.1067, loss=-0.7197]
Val epoch 1:  77%|███████▋  | 714/931 [08:57<02:40,  1.35it/s, NSS=3.1067, loss=-1.2322]
Val epoch 1:  77%|███████▋  | 715/931 [08:57<02:39,  1.35it/s, NSS=3.1067, loss=-1.2322]
Val epoch 1:  77%|███████▋  | 715/931 [08:58<02:39,  1.35it/s, NSS=3.1056, loss=-0.7974]
Val epoch 1:  77%|███████▋  | 716/931 [08:58<02:38,  1.35it/s, NSS=3.1056, loss=-0.7974]
Val epoch 1:  77%|███████▋  | 716/931 [08:58<02:38,  1.35it/s, NSS=3.1071, loss=-1.8901]
Val epoch 1:  77%|███████▋  | 717/931 [08:58<02:38,  1.35it/s, NSS=3.1071, loss=-1.8901]
Val epoch 1:  77%|███████▋  | 717/931 [08:59<02:38,  1.35it/s, NSS=3.1060, loss=-0.7366]
Val epoch 1:  77%|███████▋  | 718/931 [08:59<02:36,  1.36it/s, NSS=3.1060, loss=-0.7366]
Val epoch 1:  77%|███████▋  | 718/931 [09:00<02:36,  1.36it/s, NSS=3.1075, loss=-1.8604]
Val epoch 1:  77%|███████▋  | 719/931 [09:00<02:36,  1.36it/s, NSS=3.1075, loss=-1.8604]
Val epoch 1:  77%|███████▋  | 719/931 [09:01<02:36,  1.36it/s, NSS=3.1087, loss=-1.7839]
Val epoch 1:  77%|███████▋  | 720/931 [09:01<02:35,  1.36it/s, NSS=3.1087, loss=-1.7839]
Val epoch 1:  77%|███████▋  | 720/931 [09:01<02:35,  1.36it/s, NSS=3.1119, loss=-2.4392]
Val epoch 1:  77%|███████▋  | 721/931 [09:01<02:34,  1.36it/s, NSS=3.1119, loss=-2.4392]
Val epoch 1:  77%|███████▋  | 721/931 [09:02<02:34,  1.36it/s, NSS=3.1129, loss=-1.6984]
Val epoch 1:  78%|███████▊  | 722/931 [09:02<02:33,  1.36it/s, NSS=3.1129, loss=-1.6984]
Val epoch 1:  78%|███████▊  | 722/931 [09:03<02:33,  1.36it/s, NSS=3.1148, loss=-2.1028]
Val epoch 1:  78%|███████▊  | 723/931 [09:03<02:33,  1.36it/s, NSS=3.1148, loss=-2.1028]
Val epoch 1:  78%|███████▊  | 723/931 [09:04<02:33,  1.36it/s, NSS=3.1160, loss=-1.7264]
Val epoch 1:  78%|███████▊  | 724/931 [09:04<02:32,  1.36it/s, NSS=3.1160, loss=-1.7264]
Val epoch 1:  78%|███████▊  | 724/931 [09:04<02:32,  1.36it/s, NSS=3.1181, loss=-2.0272]
Val epoch 1:  78%|███████▊  | 725/931 [09:04<02:31,  1.36it/s, NSS=3.1181, loss=-2.0272]
Val epoch 1:  78%|███████▊  | 725/931 [09:05<02:31,  1.36it/s, NSS=3.1206, loss=-2.2715]
Val epoch 1:  78%|███████▊  | 726/931 [09:05<02:30,  1.36it/s, NSS=3.1206, loss=-2.2715]
Val epoch 1:  78%|███████▊  | 726/931 [09:06<02:30,  1.36it/s, NSS=3.1215, loss=-1.5644]
Val epoch 1:  78%|███████▊  | 727/931 [09:06<02:29,  1.37it/s, NSS=3.1215, loss=-1.5644]
Val epoch 1:  78%|███████▊  | 727/931 [09:07<02:29,  1.37it/s, NSS=3.1224, loss=-1.7403]
Val epoch 1:  78%|███████▊  | 728/931 [09:07<02:28,  1.36it/s, NSS=3.1224, loss=-1.7403]
Val epoch 1:  78%|███████▊  | 728/931 [09:07<02:28,  1.36it/s, NSS=3.1215, loss=-0.8804]
Val epoch 1:  78%|███████▊  | 729/931 [09:07<02:28,  1.36it/s, NSS=3.1215, loss=-0.8804]
Val epoch 1:  78%|███████▊  | 729/931 [09:08<02:28,  1.36it/s, NSS=3.1201, loss=-0.6679]
