nohup: ignoring input
Using device: cuda:1
Run checkpoints will be saved to: training_outputs/ckpts/20260713_012129
Concept branches | visual_concept_on=True | temporal_concepts_on=False | visual_concept_logit_scale=1.0
Train: 21351 windows (/data/quantization/zaima/dh1k/training) | Val: 3722 windows (/data/quantization/zaima/dh1k/testing) | window_len=16
Initialized saliency bias to logit(0.0177) = -4.0163 for: final_upsample_head.head, patch_logit_head
Backbone fine-tuning enabled | effective_batch_size=4 | micro_batch_size=4 | grad_accum_steps=1 | gradient_checkpointing=False | visual_equiv=off

Epoch 1/100

Train epoch 1:   2%|▏         | 86/5338 [00:38<31:02,  2.82it/s, loss=-0.9691]
Train epoch 1:   2%|▏         | 87/5338 [00:38<30:49,  2.84it/s, loss=-0.9691]
Train epoch 1:   2%|▏         | 87/5338 [00:38<30:49,  2.84it/s, loss=-1.3506]
Train epoch 1:   2%|▏         | 88/5338 [00:38<30:21,  2.88it/s, loss=-1.3506]
Train epoch 1:   2%|▏         | 88/5338 [00:39<30:21,  2.88it/s, loss=-2.0987]
Train epoch 1:   2%|▏         | 89/5338 [00:39<30:41,  2.85it/s, loss=-2.0987]
Train epoch 1:   2%|▏         | 89/5338 [00:39<30:41,  2.85it/s, loss=-1.0236]
Train epoch 1:   2%|▏         | 90/5338 [00:39<30:49,  2.84it/s, loss=-1.0236]
Train epoch 1:   2%|▏         | 90/5338 [00:39<30:49,  2.84it/s, loss=-2.0894]
Train epoch 1:   2%|▏         | 91/5338 [00:39<30:54,  2.83it/s, loss=-2.0894]
Train epoch 1:   2%|▏         | 91/5338 [00:40<30:54,  2.83it/s, loss=-1.3372]
Train epoch 1:   2%|▏         | 92/5338 [00:40<30:54,  2.83it/s, loss=-1.3372]
Train epoch 1:   2%|▏         | 92/5338 [00:40<30:54,  2.83it/s, loss=-1.2273]
Train epoch 1:   2%|▏         | 93/5338 [00:40<30:32,  2.86it/s, loss=-1.2273]
Train epoch 1:   2%|▏         | 93/5338 [00:40<30:32,  2.86it/s, loss=-0.7875]
Train epoch 1:   2%|▏         | 94/5338 [00:40<30:47,  2.84it/s, loss=-0.7875]
Train epoch 1:   2%|▏         | 94/5338 [00:41<30:47,  2.84it/s, loss=-0.4035]
Train epoch 1:   2%|▏         | 95/5338 [00:41<30:24,  2.87it/s, loss=-0.4035]
Train epoch 1:   2%|▏         | 95/5338 [00:41<30:24,  2.87it/s, loss=-1.6768]
Train epoch 1:   2%|▏         | 96/5338 [00:41<30:39,  2.85it/s, loss=-1.6768]
Train epoch 1:   2%|▏         | 96/5338 [00:41<30:39,  2.85it/s, loss=-0.3894]
Train epoch 1:   2%|▏         | 97/5338 [00:41<30:46,  2.84it/s, loss=-0.3894]
Train epoch 1:   2%|▏         | 97/5338 [00:42<30:46,  2.84it/s, loss=-1.1537]
Train epoch 1:   2%|▏         | 98/5338 [00:42<30:47,  2.84it/s, loss=-1.1537]
Train epoch 1:   2%|▏         | 98/5338 [00:42<30:47,  2.84it/s, loss=-1.3995]
Train epoch 1:   2%|▏         | 99/5338 [00:42<30:47,  2.84it/s, loss=-1.3995]
Train epoch 1:   2%|▏         | 99/5338 [00:43<30:47,  2.84it/s, loss=-1.7265]
Train epoch 1:   2%|▏         | 100/5338 [00:43<31:01,  2.81it/s, loss=-1.7265]
Train epoch 1:   2%|▏         | 100/5338 [00:43<31:01,  2.81it/s, loss=-2.0182]
Train epoch 1:   2%|▏         | 101/5338 [00:43<30:42,  2.84it/s, loss=-2.0182]
Train epoch 1:   2%|▏         | 101/5338 [00:43<30:42,  2.84it/s, loss=-1.5954]
Train epoch 1:   2%|▏         | 102/5338 [00:43<30:51,  2.83it/s, loss=-1.5954]
Train epoch 1:   2%|▏         | 102/5338 [00:44<30:51,  2.83it/s, loss=-0.3307]
Train epoch 1:   2%|▏         | 103/5338 [00:44<30:31,  2.86it/s, loss=-0.3307]
Train epoch 1:   2%|▏         | 103/5338 [00:44<30:31,  2.86it/s, loss=-1.1642]
Train epoch 1:   2%|▏         | 104/5338 [00:44<30:14,  2.88it/s, loss=-1.1642]
Train epoch 1:   2%|▏         | 104/5338 [00:44<30:14,  2.88it/s, loss=-0.8398]
Train epoch 1:   2%|▏         | 105/5338 [00:44<29:59,  2.91it/s, loss=-0.8398]
Train epoch 1:   2%|▏         | 105/5338 [00:45<29:59,  2.91it/s, loss=-0.4856]
Train epoch 1:   2%|▏         | 106/5338 [00:45<30:15,  2.88it/s, loss=-0.4856]
Train epoch 1:   2%|▏         | 106/5338 [00:45<30:15,  2.88it/s, loss=-1.2666]
Train epoch 1:   2%|▏         | 107/5338 [00:45<30:34,  2.85it/s, loss=-1.2666]
Train epoch 1:   2%|▏         | 107/5338 [00:45<30:34,  2.85it/s, loss=-1.6721]
Train epoch 1:   2%|▏         | 108/5338 [00:45<30:20,  2.87it/s, loss=-1.6721]
Train epoch 1:   2%|▏         | 108/5338 [00:46<30:20,  2.87it/s, loss=-2.3935]
Train epoch 1:   2%|▏         | 109/5338 [00:46<30:24,  2.87it/s, loss=-2.3935]
Train epoch 1:   2%|▏         | 109/5338 [00:46<30:24,  2.87it/s, loss=-1.9422]
Train epoch 1:   2%|▏         | 110/5338 [00:46<30:33,  2.85it/s, loss=-1.9422]
Train epoch 1:   2%|▏         | 110/5338 [00:46<30:33,  2.85it/s, loss=-1.2267]
Train epoch 1:   2%|▏         | 111/5338 [00:46<30:44,  2.83it/s, loss=-1.2267]
Train epoch 1:   2%|▏         | 111/5338 [00:47<30:44,  2.83it/s, loss=-1.4951]
Train epoch 1:   2%|▏         | 112/5338 [00:47<30:09,  2.89it/s, loss=-1.4951]
Train epoch 1:   2%|▏         | 112/5338 [00:47<30:09,  2.89it/s, loss=-0.9004]
Train epoch 1:   2%|▏         | 113/5338 [00:47<30:26,  2.86it/s, loss=-0.9004]
Train epoch 1:   2%|▏         | 113/5338 [00:47<30:26,  2.86it/s, loss=-1.4326]
Train epoch 1:   2%|▏         | 114/5338 [00:47<30:35,  2.85it/s, loss=-1.4326]
Train epoch 1:   2%|▏         | 114/5338 [00:48<30:35,  2.85it/s, loss=-2.1387]
Train epoch 1:   2%|▏         | 115/5338 [00:48<30:26,  2.86it/s, loss=-2.1387]
Train epoch 1:   2%|▏         | 115/5338 [00:48<30:26,  2.86it/s, loss=-1.0913]
Train epoch 1:   2%|▏         | 116/5338 [00:48<30:28,  2.86it/s, loss=-1.0913]
Train epoch 1:   2%|▏         | 116/5338 [00:48<30:28,  2.86it/s, loss=-1.7899]
Train epoch 1:   2%|▏         | 117/5338 [00:48<30:50,  2.82it/s, loss=-1.7899]
Train epoch 1:   2%|▏         | 117/5338 [00:49<30:50,  2.82it/s, loss=-1.6453]
Train epoch 1:   2%|▏         | 118/5338 [00:49<32:29,  2.68it/s, loss=-1.6453]
Train epoch 1:   2%|▏         | 118/5338 [00:49<32:29,  2.68it/s, loss=-1.8412]
Train epoch 1:   2%|▏         | 119/5338 [00:49<32:31,  2.67it/s, loss=-1.8412]
Train epoch 1:   2%|▏         | 119/5338 [00:50<32:31,  2.67it/s, loss=-0.4950]
Train epoch 1:   2%|▏         | 120/5338 [00:50<31:39,  2.75it/s, loss=-0.4950]
Train epoch 1:   2%|▏         | 120/5338 [00:50<31:39,  2.75it/s, loss=-1.6134]
Train epoch 1:   2%|▏         | 121/5338 [00:50<31:45,  2.74it/s, loss=-1.6134]
Train epoch 1:   2%|▏         | 121/5338 [00:50<31:45,  2.74it/s, loss=-1.4610]
Train epoch 1:   2%|▏         | 122/5338 [00:50<31:05,  2.80it/s, loss=-1.4610]
Train epoch 1:   2%|▏         | 122/5338 [00:51<31:05,  2.80it/s, loss=-0.4472]
Train epoch 1:   2%|▏         | 123/5338 [00:51<30:21,  2.86it/s, loss=-0.4472]
